ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount,adj_factor
300775.SZ,20190521,7.09,8.51,7.09,8.51,5.91,2.5999999999999996,43.9932,383.0,325.72,1.0
300775.SZ,20190522,9.36,9.36,9.36,9.36,8.51,0.8499999999999996,9.9882,128.93,120.678,1.0
300775.SZ,20190523,10.3,10.3,10.3,10.3,9.36,0.9400000000000013,10.0427,139.22,143.396,1.0
300775.SZ,20190524,11.33,11.33,11.33,11.33,10.3,1.0299999999999994,10.0,342.11,387.61,1.0
300775.SZ,20190527,12.46,12.46,12.46,12.46,11.33,1.1300000000000008,9.9735,728.27,907.424,1.0
300775.SZ,20190528,13.71,13.71,13.71,13.71,12.46,1.25,10.0321,806.88,1106.232,1.0
300775.SZ,20190529,15.08,15.08,15.08,15.08,13.71,1.3699999999999992,9.9927,1190.83,1795.771,1.0
300775.SZ,20190530,16.59,16.59,16.59,16.59,15.08,1.5099999999999998,10.0133,1039.13,1723.916,1.0
300775.SZ,20190531,18.25,18.25,18.25,18.25,16.59,1.6600000000000001,10.006,1687.76,3080.162,1.0
300775.SZ,20190603,20.08,20.08,20.08,20.08,18.25,1.8299999999999983,10.0274,6071.73,12192.033,1.0
300775.SZ,20190604,22.09,22.09,22.09,22.09,20.08,2.0100000000000016,10.01,6579.5,14534.115,1.0
300775.SZ,20190605,24.3,24.3,24.3,24.3,22.09,2.210000000000001,10.0045,2112.8,5134.104,1.0
300775.SZ,20190606,26.73,26.73,26.73,26.73,24.3,2.4299999999999997,10.0,4696.13,12552.755,1.0
300775.SZ,20190610,27.0,27.87,25.55,27.14,26.73,0.41000000000000014,1.5339,361263.43,964002.013,1.0
300775.SZ,20190611,26.93,29.85,26.39,29.85,27.14,2.710000000000001,9.9853,249285.45,696526.001,1.0
300775.SZ,20190612,31.52,32.84,31.52,32.84,29.85,2.990000000000002,10.0168,273491.22,888500.772,1.0
300775.SZ,20190613,33.0,34.5,29.78,29.78,32.84,-3.0600000000000023,-9.3179,342999.69,1105656.354,1.0
300775.SZ,20190614,29.0,32.76,28.71,32.76,29.78,2.979999999999997,10.0067,337481.14,1072756.592,1.0
300775.SZ,20190617,31.6,34.68,29.48,31.99,32.76,-0.7699999999999996,-2.3504,312246.47,980073.208,1.0
300775.SZ,20190618,32.1,34.8,31.1,32.11,31.99,0.120000000000001,0.3751,297272.78,975714.258,1.0
300775.SZ,20190619,32.9,35.32,31.55,35.32,32.11,3.210000000000001,9.9969,262277.94,875906.588,1.0
300775.SZ,20190620,33.5,38.85,33.01,35.16,35.32,-0.1600000000000037,-0.453,317126.08,1137095.785,1.0
300775.SZ,20190621,34.78,38.68,34.0,38.68,35.16,3.520000000000003,10.0114,273318.74,1007367.435,1.0
300775.SZ,20190624,39.0,40.97,34.81,34.81,38.68,-3.8699999999999974,-10.0052,304556.09,1131305.666,1.0
300775.SZ,20190625,32.58,33.0,31.33,31.33,34.81,-3.480000000000004,-9.9971,182855.51,579323.588,1.0
300775.SZ,20190626,31.0,31.79,30.51,31.75,31.33,0.4200000000000017,1.3406,115569.95,361863.556,1.0
300775.SZ,20190627,31.4,31.62,30.35,30.51,31.75,-1.2399999999999984,-3.9055,123117.92,381096.194,1.0
300775.SZ,20190628,30.2,30.96,28.35,29.4,30.51,-1.110000000000003,-3.6382,118508.95,351708.528,1.0
300775.SZ,20190701,29.66,30.37,29.66,30.04,29.4,0.6400000000000006,2.1769,98854.92,297107.977,1.0
