ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
002758.SZ,20180102,10.33,10.43,10.16,10.39,10.31,0.08,0.78,15519.0,15996.363
002758.SZ,20180103,10.35,11.18,10.3,10.76,10.39,0.37,3.56,37111.24,39695.726
002758.SZ,20180104,10.68,10.76,10.51,10.72,10.76,-0.04,-0.37,20131.5,21444.419
002758.SZ,20180105,10.69,10.88,10.6,10.79,10.72,0.07,0.65,17925.35,19281.026
002758.SZ,20180108,10.8,10.84,10.52,10.66,10.79,-0.13,-1.2,17608.54,18706.335
002758.SZ,20180109,10.57,10.73,10.5,10.55,10.66,-0.11,-1.03,18528.75,19724.275
002758.SZ,20180110,10.51,10.72,10.3,10.44,10.55,-0.11,-1.04,19567.1,20634.631
002758.SZ,20180111,10.39,10.64,10.31,10.53,10.44,0.09,0.86,15051.75,15827.714
002758.SZ,20180112,10.54,10.64,10.46,10.49,10.53,-0.04,-0.38,12548.6,13218.305
002758.SZ,20180115,10.47,10.47,10.18,10.2,10.49,-0.29,-2.76,18394.58,18835.437
002758.SZ,20180116,10.3,10.32,10.08,10.27,10.2,0.07,0.69,12755.23,13021.774
002758.SZ,20180117,10.27,10.31,10.13,10.28,10.27,0.01,0.1,10308.35,10537.697
002758.SZ,20180118,10.25,10.33,10.22,10.28,10.28,0.0,0.0,7827.77,8037.505
002758.SZ,20180119,10.33,10.33,10.19,10.2,10.28,-0.08,-0.78,7434.25,7616.532
002758.SZ,20180122,10.11,10.32,10.02,10.27,10.2,0.07,0.69,10411.75,10611.168
002758.SZ,20180123,10.27,10.31,10.15,10.23,10.27,-0.04,-0.39,8500.25,8694.533
002758.SZ,20180124,10.27,10.3,10.12,10.24,10.23,0.01,0.1,16283.0,16648.69
002758.SZ,20180125,10.25,10.42,10.21,10.37,10.24,0.13,1.27,21985.3,22698.722
002758.SZ,20180126,10.28,10.33,10.1,10.13,10.37,-0.24,-2.31,17132.84,17512.047
002758.SZ,20180129,10.13,10.18,9.9,9.94,10.13,-0.19,-1.88,15387.0,15412.745
002758.SZ,20180130,9.94,10.04,9.86,9.89,9.94,-0.05,-0.5,9324.84,9258.875
002758.SZ,20180131,9.87,9.87,9.47,9.5,9.89,-0.39,-3.94,17321.5,16669.383
002758.SZ,20180201,9.4,9.51,8.9,8.98,9.5,-0.52,-5.47,18810.5,17181.508
002758.SZ,20180202,8.96,8.97,8.61,8.8,8.98,-0.18,-2.0,17613.75,15549.877
002758.SZ,20180205,8.64,8.8,8.5,8.56,8.8,-0.24,-2.73,20257.0,17557.283
002758.SZ,20180206,8.4,8.47,7.88,7.88,8.56,-0.68,-7.94,19985.25,16288.019
002758.SZ,20180207,8.05,8.07,7.77,7.99,7.88,0.11,1.4,21412.75,17069.303
002758.SZ,20180208,7.93,8.25,7.91,8.21,7.99,0.22,2.75,19562.52,15808.425
002758.SZ,20180209,8.0,8.06,7.72,7.85,8.21,-0.36,-4.38,16131.02,12758.912
002758.SZ,20180212,7.97,8.18,7.87,8.15,7.85,0.3,3.82,13107.21,10564.078
002758.SZ,20180213,8.18,8.2,8.02,8.1,8.15,-0.05,-0.61,11352.72,9215.266
002758.SZ,20180214,8.11,8.15,7.96,8.05,8.1,-0.05,-0.62,9248.15,7429.024
002758.SZ,20180222,8.11,8.23,8.1,8.17,8.05,0.12,1.49,10710.75,8759.832
002758.SZ,20180223,8.21,8.3,8.14,8.27,8.17,0.1,1.22,11153.5,9168.267
002758.SZ,20180226,8.28,8.54,8.28,8.48,8.27,0.21,2.54,14206.25,11985.21
002758.SZ,20180227,8.47,8.67,8.42,8.63,8.48,0.15,1.77,20586.75,17677.7
002758.SZ,20180228,8.6,8.72,8.48,8.58,8.63,-0.05,-0.58,11678.86,10029.257
002758.SZ,20180301,8.52,8.68,8.52,8.64,8.58,0.06,0.7,13271.4,11435.839
002758.SZ,20180302,8.59,8.69,8.51,8.69,8.64,0.05,0.58,9167.25,7910.557
002758.SZ,20180305,8.67,8.8,8.6,8.7,8.69,0.01,0.12,13139.25,11424.493
002758.SZ,20180306,8.7,8.74,8.58,8.73,8.7,0.03,0.34,16380.0,14212.107
002758.SZ,20180307,8.74,8.82,8.67,8.77,8.73,0.04,0.46,15972.4,13967.237
002758.SZ,20180308,8.78,9.59,8.75,9.22,8.77,0.45,5.13,49934.41,45936.345
002758.SZ,20180309,9.14,9.19,8.99,9.18,9.22,-0.04,-0.43,30360.27,27594.574
002758.SZ,20180312,9.12,9.32,9.11,9.26,9.18,0.08,0.87,20084.66,18543.444
002758.SZ,20180313,9.28,9.28,9.12,9.13,9.26,-0.13,-1.4,13277.25,12192.176
002758.SZ,20180314,9.06,9.21,8.96,8.96,9.13,-0.17,-1.86,14440.0,13046.274
002758.SZ,20180315,8.92,8.97,8.65,8.86,8.96,-0.1,-1.12,14001.41,12363.88
002758.SZ,20180316,8.84,9.09,8.8,9.05,8.86,0.19,2.14,15875.36,14218.022
002758.SZ,20180319,9.05,9.21,8.91,9.16,9.05,0.11,1.22,14199.86,12974.477
002758.SZ,20180320,9.06,9.42,9.0,9.3,9.16,0.14,1.53,23663.83,21954.127
002758.SZ,20180321,9.3,9.44,9.04,9.06,9.3,-0.24,-2.58,19803.85,18315.182
002758.SZ,20180322,9.04,9.2,9.01,9.1,9.06,0.04,0.44,12105.0,11040.019
002758.SZ,20180323,8.97,9.02,8.31,8.45,9.1,-0.65,-7.14,25060.91,21701.799
002758.SZ,20180326,8.18,8.54,8.1,8.51,8.45,0.06,0.71,14480.82,12147.818
002758.SZ,20180327,8.57,9.05,8.56,9.03,8.51,0.52,6.11,24070.32,21266.845
002758.SZ,20180328,8.95,9.45,8.83,8.97,9.03,-0.06,-0.66,28176.13,25758.935
002758.SZ,20180329,8.94,9.87,8.94,9.87,8.97,0.9,10.03,67688.3,65313.754
002758.SZ,20180330,10.0,10.86,9.91,10.86,9.87,0.99,10.03,88148.6,91729.695
002758.SZ,20180402,11.38,11.68,10.84,10.92,10.86,0.06,0.55,227611.15,253630.479
002758.SZ,20180403,10.46,10.8,10.3,10.57,10.92,-0.35,-3.21,93518.81,98327.782
002758.SZ,20180404,10.46,10.98,10.08,10.37,10.57,-0.2,-1.89,85400.4,90755.991
002758.SZ,20180409,10.37,10.55,9.97,10.18,10.37,-0.19,-1.83,53535.51,54465.279
002758.SZ,20180410,10.21,10.9,9.94,10.43,10.18,0.25,2.46,83115.98,86151.196
002758.SZ,20180411,10.4,10.9,10.23,10.87,10.43,0.44,4.22,106146.31,113168.677
002758.SZ,20180412,10.78,11.08,10.62,10.78,10.87,-0.09,-0.83,73555.49,79548.491
002758.SZ,20180413,10.9,11.06,10.67,10.67,10.78,-0.11,-1.02,54900.53,59438.939
002758.SZ,20180416,10.62,10.62,10.11,10.28,10.67,-0.39,-3.66,46320.06,47660.665
002758.SZ,20180417,10.3,10.35,9.91,10.0,10.28,-0.28,-2.72,37152.77,37410.015
002758.SZ,20180418,10.06,10.45,9.95,10.39,10.0,0.39,3.9,43227.12,44176.63
002758.SZ,20180419,10.31,10.39,10.18,10.25,10.39,-0.14,-1.35,25798.77,26451.008
002758.SZ,20180420,10.25,10.25,9.48,9.52,10.25,-0.73,-7.12,41190.92,40608.053
002758.SZ,20180423,9.46,9.67,9.01,9.3,9.52,-0.22,-2.31,34703.84,32282.518
002758.SZ,20180424,9.26,9.68,9.26,9.65,9.3,0.35,3.76,28998.05,27607.092
002758.SZ,20180425,9.68,9.69,9.5,9.62,9.65,-0.03,-0.31,19509.75,18717.807
002758.SZ,20180426,9.67,9.68,9.24,9.31,9.62,-0.31,-3.22,20427.0,19253.044
002758.SZ,20180427,9.4,9.85,9.31,9.62,9.31,0.31,3.33,32597.28,31455.963
002758.SZ,20180502,9.6,9.6,8.88,8.94,9.62,-0.68,-7.07,59092.01,53942.475
002758.SZ,20180503,8.93,9.18,8.88,9.16,8.94,0.22,2.46,31198.75,28367.121
002758.SZ,20180504,9.15,9.3,9.1,9.25,9.16,0.09,0.98,23781.87,21871.784
002758.SZ,20180507,9.27,9.5,9.2,9.5,9.25,0.25,2.7,27518.5,25747.515
002758.SZ,20180508,9.5,10.45,9.35,10.45,9.5,0.95,10.0,37150.25,37530.173
002758.SZ,20180509,10.69,10.99,10.15,10.35,10.37,-0.02,-0.19,146904.39,155867.533
002758.SZ,20180510,10.27,10.55,10.12,10.31,10.35,-0.04,-0.39,73738.75,76089.019
002758.SZ,20180511,10.21,10.55,10.07,10.1,10.31,-0.21,-2.04,56187.0,57951.787
002758.SZ,20180514,10.03,10.03,9.7,9.98,10.1,-0.12,-1.19,38024.25,37622.157
002758.SZ,20180515,10.0,10.67,9.88,10.41,9.98,0.43,4.31,52656.29,53828.086
002758.SZ,20180516,10.27,10.93,10.1,10.4,10.41,-0.01,-0.1,73016.14,76790.249
002758.SZ,20180517,10.21,10.42,10.16,10.21,10.4,-0.19,-1.83,35988.25,36926.265
002758.SZ,20180518,10.23,10.32,10.02,10.18,10.21,-0.03,-0.29,25409.75,25703.606
002758.SZ,20180521,10.27,10.35,10.08,10.35,10.18,0.17,1.67,35732.85,36568.187
002758.SZ,20180522,10.29,10.4,10.2,10.3,10.35,-0.05,-0.48,26078.35,26837.361
002758.SZ,20180523,10.28,10.28,9.97,9.97,10.3,-0.33,-3.2,29669.5,30023.35
002758.SZ,20180524,10.01,10.15,9.8,9.83,9.97,-0.14,-1.4,29271.9,29217.402
002758.SZ,20180525,9.95,10.81,9.85,10.81,9.83,0.98,9.97,88773.22,94498.173
002758.SZ,20180528,11.54,11.89,11.42,11.89,10.81,1.08,9.99,66968.74,78516.502
002758.SZ,20180529,13.08,13.08,12.13,13.08,11.89,1.19,10.01,346976.2,446199.864
002758.SZ,20180530,12.22,12.88,11.77,11.77,13.08,-1.31,-10.02,271593.44,333012.998
002758.SZ,20180531,11.5,12.67,11.19,12.23,11.77,0.46,3.91,286200.52,338229.29
002758.SZ,20180601,11.7,11.9,11.01,11.01,12.23,-1.22,-9.98,188685.46,215025.363
002758.SZ,20180604,10.7,10.99,10.33,10.47,11.01,-0.54,-4.9,126239.4,133985.584
002758.SZ,20180605,10.52,10.91,10.46,10.88,10.47,0.41,3.92,105853.12,113357.926
002758.SZ,20180606,10.82,11.1,10.64,10.95,10.88,0.07,0.64,105211.72,114540.177
002758.SZ,20180607,11.05,11.06,10.53,10.61,10.95,-0.34,-3.11,79125.59,85214.072
002758.SZ,20180608,10.53,11.06,10.53,10.97,10.61,0.36,3.39,92872.72,101158.438
002758.SZ,20180611,10.96,10.97,10.68,10.95,10.97,-0.02,-0.18,60548.71,65582.127
002758.SZ,20180612,10.9,11.8,10.52,11.45,10.95,0.5,4.57,119688.63,133134.847
002758.SZ,20180613,11.22,11.98,11.1,11.51,11.45,0.06,0.52,148057.31,170933.464
002758.SZ,20180614,11.35,11.61,10.81,11.12,11.51,-0.39,-3.39,92913.25,104581.817
002758.SZ,20180615,11.03,11.03,10.36,10.41,11.12,-0.71,-6.38,71162.68,75881.934
002758.SZ,20180619,10.13,10.18,9.37,9.37,10.41,-1.04,-9.99,66314.85,64355.902
002758.SZ,20180620,9.15,9.6,8.91,9.5,9.37,0.13,1.39,56471.87,52802.73
002758.SZ,20180621,9.5,9.58,8.95,9.07,9.5,-0.43,-4.53,55031.25,51107.551
002758.SZ,20180622,8.88,9.25,8.72,9.21,9.07,0.14,1.54,34880.57,31782.211
002758.SZ,20180625,9.27,9.4,9.05,9.06,9.21,-0.15,-1.63,32239.22,29644.976
002758.SZ,20180626,8.85,9.34,8.85,9.31,9.06,0.25,2.76,33817.13,30918.738
002758.SZ,20180627,9.22,9.38,9.11,9.16,9.31,-0.15,-1.61,30189.88,27896.611
002758.SZ,20180628,9.0,9.29,9.0,9.18,9.16,0.02,0.22,29887.38,27456.387
002758.SZ,20180629,9.13,9.66,9.13,9.54,9.18,0.36,3.92,45765.22,43199.27
002758.SZ,20180702,9.46,9.69,9.15,9.32,9.54,-0.22,-2.31,38455.09,36394.113
002758.SZ,20180703,9.35,9.88,9.22,9.66,9.32,0.34,3.65,46245.65,44173.212
002758.SZ,20180704,9.57,9.7,9.29,9.47,9.66,-0.19,-1.97,31015.75,29359.314
002758.SZ,20180705,9.44,9.57,8.99,9.01,9.47,-0.46,-4.86,29128.5,26911.922
002758.SZ,20180706,9.0,9.23,8.76,9.03,9.01,0.02,0.22,29202.35,26390.614
002758.SZ,20180709,9.08,9.48,9.05,9.41,9.03,0.38,4.21,32447.59,30222.612
002758.SZ,20180710,9.36,10.35,9.36,9.96,9.41,0.55,5.84,95317.25,95263.489
002758.SZ,20180711,9.52,9.85,9.51,9.8,9.96,-0.16,-1.61,62169.85,60027.158
002758.SZ,20180712,9.65,10.08,9.65,9.94,9.8,0.14,1.43,50794.4,50460.167
002758.SZ,20180713,9.93,10.58,9.83,10.13,9.94,0.19,1.91,70258.63,71911.961
002758.SZ,20180716,10.11,10.23,9.79,9.94,10.13,-0.19,-1.88,38253.61,38076.706
002758.SZ,20180717,9.86,9.98,9.72,9.91,9.94,-0.03,-0.3,28351.44,27902.651
002758.SZ,20180718,10.03,10.13,9.88,9.89,9.91,-0.02,-0.2,27657.0,27614.021
002758.SZ,20180719,9.78,10.04,9.78,9.8,9.89,-0.09,-0.91,21223.75,20989.264
002758.SZ,20180720,9.72,10.1,9.67,10.04,9.8,0.24,2.449,37472.9,37184.926
