ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
600081.SH,20180102,12.01,12.13,11.91,12.03,11.99,0.04,0.33,16255.72,19511.749
600081.SH,20180103,11.96,12.12,11.96,12.08,12.03,0.05,0.42,15191.17,18339.775
600081.SH,20180104,12.03,12.2,11.96,12.19,12.08,0.11,0.91,22407.25,27124.139
600081.SH,20180105,12.15,12.44,12.08,12.3,12.19,0.11,0.9,25176.34,30909.698
600081.SH,20180108,12.4,12.68,12.22,12.6,12.3,0.3,2.44,30109.94,37487.952
600081.SH,20180109,12.57,12.75,12.42,12.47,12.6,-0.13,-1.03,24654.0,30995.331
600081.SH,20180110,12.42,12.8,12.41,12.78,12.47,0.31,2.49,33948.17,42830.023
600081.SH,20180111,12.71,12.85,12.62,12.75,12.78,-0.03,-0.23,16807.73,21478.005
600081.SH,20180112,12.7,12.74,12.46,12.49,12.75,-0.26,-2.04,16291.27,20480.22
600081.SH,20180115,12.53,12.54,12.12,12.2,12.49,-0.29,-2.32,20360.87,24924.299
600081.SH,20180116,12.15,12.41,12.15,12.4,12.2,0.2,1.64,10215.9,12553.255
600081.SH,20180117,12.35,12.48,12.18,12.46,12.4,0.06,0.48,14424.35,17808.959
600081.SH,20180118,12.42,12.7,12.41,12.65,12.46,0.19,1.52,11535.01,14514.589
600081.SH,20180119,12.65,12.8,12.55,12.73,12.65,0.08,0.63,17846.21,22700.404
600081.SH,20180122,12.63,12.76,12.56,12.72,12.73,-0.01,-0.08,12253.99,15526.336
600081.SH,20180123,12.75,12.79,12.44,12.46,12.72,-0.26,-2.04,10636.77,13334.057
600081.SH,20180124,12.45,12.58,12.31,12.49,12.46,0.03,0.24,9925.1,12368.42
600081.SH,20180125,12.52,12.57,12.41,12.41,12.49,-0.08,-0.64,8145.89,10166.08
600081.SH,20180126,12.41,12.61,12.37,12.41,12.41,0.0,0.0,11500.64,14365.625
600081.SH,20180129,12.35,12.52,12.17,12.29,12.41,-0.12,-0.97,11417.2,14076.049
600081.SH,20180130,12.33,12.41,12.18,12.3,12.29,0.01,0.08,10261.67,12631.796
600081.SH,20180131,12.35,12.35,12.15,12.18,12.3,-0.12,-0.98,9377.1,11471.908
600081.SH,20180201,12.2,12.34,11.6,11.61,12.18,-0.57,-4.68,16448.0,19796.915
600081.SH,20180202,11.51,11.98,11.44,11.7,11.61,0.09,0.78,13520.17,15739.985
600081.SH,20180205,11.51,11.69,11.28,11.55,11.7,-0.15,-1.28,7491.11,8665.427
600081.SH,20180206,11.5,11.66,10.88,10.92,11.55,-0.63,-5.45,18158.21,20431.198
600081.SH,20180207,11.08,11.23,10.73,10.93,10.92,0.01,0.09,12330.67,13553.779
600081.SH,20180208,11.09,11.15,10.93,11.05,10.93,0.12,1.1,7022.66,7780.124
600081.SH,20180209,11.0,11.3,10.68,10.8,11.05,-0.25,-2.26,15368.92,16791.672
600081.SH,20180212,10.85,11.4,10.85,11.22,10.8,0.42,3.89,12053.0,13500.829
600081.SH,20180213,11.22,11.51,11.11,11.37,11.22,0.15,1.34,12276.0,13936.882
600081.SH,20180214,11.5,11.74,11.31,11.64,11.37,0.27,2.37,10599.32,12265.224
600081.SH,20180222,11.64,11.8,11.53,11.65,11.64,0.01,0.09,4529.0,5272.291
600081.SH,20180223,11.6,11.71,11.33,11.49,11.65,-0.16,-1.37,6704.2,7720.299
600081.SH,20180226,11.5,11.87,11.49,11.82,11.49,0.33,2.87,12203.48,14251.292
600081.SH,20180227,11.71,11.9,11.71,11.86,11.82,0.04,0.34,10798.57,12803.591
600081.SH,20180228,11.77,12.12,11.66,11.95,11.86,0.09,0.76,9926.94,11843.125
600081.SH,20180301,11.88,12.47,11.84,12.33,11.95,0.38,3.18,18429.6,22601.778
600081.SH,20180302,12.13,12.46,12.13,12.31,12.33,-0.02,-0.16,11430.31,14097.925
600081.SH,20180305,12.27,12.6,12.27,12.59,12.31,0.28,2.27,20152.41,25200.64
600081.SH,20180306,12.64,12.66,12.43,12.62,12.59,0.03,0.24,10757.97,13490.451
600081.SH,20180307,12.61,12.64,12.44,12.55,12.62,-0.07,-0.55,10588.78,13290.964
600081.SH,20180308,12.46,12.56,12.39,12.51,12.55,-0.04,-0.32,8848.38,11030.397
600081.SH,20180309,12.51,12.95,12.4,12.72,12.51,0.21,1.68,22055.44,28170.822
600081.SH,20180312,12.7,12.92,12.7,12.83,12.72,0.11,0.86,15381.77,19764.027
600081.SH,20180313,12.85,12.92,12.61,12.69,12.83,-0.14,-1.09,8205.6,10507.925
600081.SH,20180314,12.57,12.78,12.4,12.41,12.69,-0.28,-2.21,11126.61,14001.268
600081.SH,20180315,12.41,12.6,12.31,12.41,12.41,0.0,0.0,10386.88,12878.372
600081.SH,20180316,12.4,12.57,12.35,12.42,12.41,0.01,0.08,6074.47,7568.251
600081.SH,20180319,12.33,12.53,12.33,12.45,12.42,0.03,0.24,6960.51,8675.037
600081.SH,20180320,12.39,12.73,12.36,12.64,12.45,0.19,1.53,10489.4,13217.09
600081.SH,20180321,12.55,12.73,12.5,12.65,12.64,0.01,0.08,9963.78,12577.5
600081.SH,20180322,12.65,12.74,12.52,12.64,12.65,-0.01,-0.08,10049.97,12673.181
600081.SH,20180323,12.43,12.47,11.6,11.7,12.64,-0.94,-7.44,15620.0,18714.879
600081.SH,20180326,11.68,11.7,11.28,11.59,11.7,-0.11,-0.94,18098.01,20674.553
600081.SH,20180327,11.68,12.2,11.68,12.14,11.59,0.55,4.75,17360.19,20816.675
600081.SH,20180328,12.0,12.14,11.85,12.1,12.14,-0.04,-0.33,10688.01,12823.608
600081.SH,20180329,12.1,12.29,11.83,12.08,12.1,-0.02,-0.17,13464.17,16195.064
600081.SH,20180330,12.11,12.4,12.02,12.32,12.08,0.24,1.99,11647.81,14300.663
600081.SH,20180402,12.25,12.36,11.88,11.99,12.32,-0.33,-2.68,23487.98,28226.047
600081.SH,20180403,11.88,11.88,11.52,11.73,11.99,-0.26,-2.17,17630.5,20596.207
600081.SH,20180404,11.74,11.8,11.53,11.66,11.73,-0.07,-0.6,14858.2,17319.072
600081.SH,20180409,11.64,11.64,11.34,11.49,11.66,-0.17,-1.46,16618.89,18988.72
600081.SH,20180410,11.49,11.58,11.26,11.51,11.49,0.02,0.17,22574.81,25756.84
600081.SH,20180411,11.53,11.56,11.43,11.51,11.51,0.0,0.0,19238.91,22108.14
600081.SH,20180412,11.45,11.53,11.06,11.14,11.51,-0.37,-3.21,45840.02,51370.718
600081.SH,20180413,11.17,11.22,11.06,11.18,11.14,0.04,0.36,17196.47,19158.077
600081.SH,20180416,11.18,11.18,10.91,11.09,11.18,-0.09,-0.81,25768.56,28451.944
600081.SH,20180417,11.09,11.14,10.8,11.01,11.09,-0.08,-0.72,26385.63,28895.53
600081.SH,20180418,11.03,11.05,10.65,10.82,11.01,-0.19,-1.73,35888.0,38701.32
600081.SH,20180419,10.73,10.82,10.64,10.74,10.82,-0.08,-0.74,32776.44,35149.353
600081.SH,20180420,10.69,10.76,10.33,10.36,10.74,-0.38,-3.54,22362.21,23617.6
600081.SH,20180423,10.31,10.38,10.19,10.26,10.36,-0.1,-0.97,10098.01,10371.321
600081.SH,20180424,10.3,10.53,10.3,10.48,10.26,0.22,2.14,9692.28,10122.851
600081.SH,20180425,10.46,10.61,10.36,10.41,10.48,-0.07,-0.67,14207.89,14881.193
600081.SH,20180426,10.44,10.45,10.15,10.2,10.41,-0.21,-2.02,12421.97,12737.442
600081.SH,20180427,10.21,10.39,10.21,10.29,10.2,0.09,0.88,10372.97,10689.508
600081.SH,20180502,10.38,10.61,10.38,10.54,10.29,0.25,2.43,16322.28,17177.133
600081.SH,20180503,10.57,10.79,10.42,10.74,10.54,0.2,1.9,21762.35,23028.36
600081.SH,20180504,10.73,10.77,10.5,10.72,10.74,-0.02,-0.19,18125.29,19350.092
600081.SH,20180507,10.78,10.9,10.69,10.82,10.72,0.1,0.93,18776.98,20254.709
600081.SH,20180508,10.82,10.87,10.68,10.8,10.82,-0.02,-0.18,16210.11,17478.894
600081.SH,20180509,10.85,10.85,10.7,10.78,10.8,-0.02,-0.19,9654.77,10408.108
600081.SH,20180510,10.77,10.84,10.72,10.82,10.78,0.04,0.37,13071.77,14089.024
600081.SH,20180511,10.75,11.07,10.75,10.88,10.82,0.06,0.55,23452.0,25640.278
600081.SH,20180514,10.8,10.9,10.68,10.73,10.88,-0.15,-1.38,21631.25,23295.743
600081.SH,20180515,10.8,10.8,10.69,10.78,10.73,0.05,0.47,6398.77,6878.635
600081.SH,20180516,10.77,10.79,10.57,10.59,10.78,-0.19,-1.76,14691.0,15699.471
600081.SH,20180517,10.58,10.7,10.55,10.61,10.59,0.02,0.19,9626.77,10216.245
600081.SH,20180518,10.53,10.66,10.52,10.6,10.61,-0.01,-0.09,11623.2,12309.578
600081.SH,20180521,10.78,10.8,10.6,10.78,10.6,0.18,1.7,16683.49,17916.764
600081.SH,20180522,10.75,10.84,10.73,10.83,10.78,0.05,0.46,11398.0,12296.463
600081.SH,20180523,10.83,10.83,10.59,10.72,10.83,-0.11,-1.02,15052.6,16207.213
600081.SH,20180524,10.65,10.72,10.53,10.56,10.72,-0.16,-1.49,14969.42,15885.108
