aggregator_type,best_model_path,dropout,feat_name,gpu,lr,model_path_dir,n_epochs,n_hidden,n_layers,shuffle,weight_decay,loss,acc
gcn,Graph_ckpt/best_model_20211107-18-10,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.745385209,0.580769046
gcn,Graph_ckpt/best_model_20211105-01-33,0.7,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.696939182,0.575728482
gcn,Graph_ckpt/best_model_20211107-01-58,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.847482323,0.573232202
mean,Graph_ckpt/best_model_0_20211110-09-55,0.5,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.782812812,0.570159858
mean,Graph_ckpt/best_model_20211103-20-24,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.704414824,0.567903605
gcn,Graph_ckpt/best_model_0_20211104-10-39,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.689701868,0.564879266
pool,Graph_ckpt/best_model_20211110-17-58,0.5,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,7.142104414,0.563967164
pool,Graph_ckpt/best_model_20211107-22-37,0.2,feat-all5,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,6.151143789,0.563775143
gcn,Graph_ckpt/best_model_20211104-23-21,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.142641985,0.56089482
gcn,Graph_ckpt/best_model_0_20211106-19-57,0.7,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.73272473,0.560510777
pool,Graph_ckpt/best_model_20211103-18-14,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,15.00895447,0.560414766
gcn,Graph_ckpt/best_model_20211108-04-40,0.5,feat-all,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.688863354,0.557726465
gcn,Graph_ckpt/best_model_0_20211106-10-42,0.5,feat-all5,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.694993045,0.556958379
mean,Graph_ckpt/best_model_0_20211107-03-12,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.741091292,0.555374202
gcn,Graph_ckpt/best_model_0_20211109-17-16,0.2,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.685834487,0.555278191
gcn,Graph_ckpt/best_model_0_20211105-09-57,0.2,feat-all,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.730150103,0.55508617
gcn,Graph_ckpt/best_model_0_20211104-10-20,0.5,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,1.022620138,0.554654121
pool,Graph_ckpt/best_model_0_20211109-18-39,0.2,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,13.65325754,0.554510105
gcn,Graph_ckpt/best_model_20211104-09-50,0.5,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.705850208,0.5544621
mean,Graph_ckpt/best_model_0_20211109-20-31,0.2,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.748171087,0.553790024
gcn,Graph_ckpt/best_model_20211107-12-56,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.73160181,0.553790024
mean,Graph_ckpt/best_model_20211108-08-43,0.5,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.69035185,0.553790024
gcn,Graph_ckpt/best_model_0_20211108-08-17,0.5,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.720775836,0.553453987
pool,Graph_ckpt/best_model_20211106-09-53,0.5,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,98.07234386,0.553117949
pool,Graph_ckpt/best_model_0_20211107-17-35,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,48.01411987,0.552733906
mean,Graph_ckpt/best_model_20211107-02-16,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,2.517306831,0.552637895
mean,Graph_ckpt/best_model_0_20211111-03-22,0.7,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.77618611,0.552445874
gcn,Graph_ckpt/best_model_0_20211109-19-06,0.2,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.705228876,0.55196582
pool,Graph_ckpt/best_model_0_20211108-22-14,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,7.260913054,0.551821804
gcn,Graph_ckpt/best_model_0_20211110-19-24,0.7,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.756907938,0.551485766
pool,Graph_ckpt/best_model_20211109-20-40,0.2,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,8.302016952,0.550861697
pool,Graph_ckpt/best_model_0_20211107-01-40,0.7,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,6.59384118,0.55062167
gcn,Graph_ckpt/best_model_0_20211108-22-33,0.7,feat-all3,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.710775695,0.5499976
pool,Graph_ckpt/best_model_20211111-05-11,0.7,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,6.596448312,0.549805578
gcn,Graph_ckpt/best_model_0_20211111-00-14,0.7,feat-all4,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,1.240090377,0.549517546
gcn,Graph_ckpt/best_model_0_20211104-06-40,0.5,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.710223362,0.549325524
gcn,Graph_ckpt/best_model_20211103-19-13,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.749341666,0.548893476
gcn,Graph_ckpt/best_model_0_20211108-03-54,0.5,feat-all2,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.710162365,0.548701455
mean,Graph_ckpt/best_model_20211110-12-48,0.5,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.69549027,0.548653449
gcn,Graph_ckpt/best_model_0_20211107-11-09,0.2,feat-all2,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.805401878,0.547981374
mean,Graph_ckpt/best_model_20211107-22-18,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.717921307,0.547981374
mean,Graph_ckpt/best_model_20211104-19-55,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.683992267,0.547933369
gcn,Graph_ckpt/best_model_20211105-15-24,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.837059754,0.547021266
gcn,Graph_ckpt/best_model_0_20211107-02-02,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.8813086,0.546829245
pool,Graph_ckpt/best_model_20211109-10-43,0.7,feat-all5,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,5.799922022,0.546829245
pool,Graph_ckpt/best_model_20211105-19-33,0.2,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,26.68631533,0.546637223
mean,Graph_ckpt/best_model_0_20211109-13-38,0.2,feat-all2,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.77230988,0.546397196
pool,Graph_ckpt/best_model_0_20211104-08-02,0.5,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.738705679,0.546301186
gcn,Graph_ckpt/best_model_0_20211109-16-52,0.2,feat-all4,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.845086481,0.54625318
mean,Graph_ckpt/best_model_0_20211109-20-11,0.2,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.742902034,0.54625318
pool,Graph_ckpt/best_model_0_20211108-19-57,0.7,feat-all,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,10.38372629,0.546013153
mean,Graph_ckpt/best_model_20211106-04-36,0.5,feat-all2,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.689081722,0.545821132
gcn,Graph_ckpt/best_model_20211110-16-02,0.5,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.709652196,0.545725121
pool,Graph_ckpt/best_model_20211105-17-30,0.2,feat-all4,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,2.259806896,0.5455331
gcn,Graph_ckpt/best_model_0_20211106-01-22,0.5,feat-all,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.690077354,0.545389084
gcn,Graph_ckpt/best_model_0_20211105-14-19,0.2,feat-all3,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.879499175,0.544620998
lstm,Graph_ckpt/best_model_0_20211105-17-15,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.693860599,0.544524987
mean,Graph_ckpt/best_model_20211104-05-02,0.5,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.438581664,0.544188949
mean,Graph_ckpt/best_model_20211107-14-25,0.2,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,1.150501698,0.543804906
pool,Graph_ckpt/best_model_20211109-08-10,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,12.77680861,0.543276847
mean,Graph_ckpt/best_model_0_20211107-01-02,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.866288686,0.542604772
gcn,Graph_ckpt/best_model_0_20211106-18-06,0.7,feat-all,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.692960182,0.542364745
gcn,Graph_ckpt/best_model_20211110-22-54,0.5,feat-all7,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.704978497,0.542220729
gcn,Graph_ckpt/best_model_0_20211104-12-36,0.5,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.703260101,0.542172723
pool,Graph_ckpt/best_model_0_20211111-01-38,0.7,feat-all4,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.553041208,0.542028707
pool,Graph_ckpt/best_model_20211103-20-25,0.2,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,3.938190901,0.541836686
gcn,Graph_ckpt/best_model_0_20211106-17-34,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,1.15053886,0.54169267
mean,Graph_ckpt/best_model_20211110-03-11,0.2,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.897997385,0.541644664
pool,Graph_ckpt/best_model_0_20211104-22-56,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,1.389934154,0.541020594
gcn,Graph_ckpt/best_model_20211104-18-42,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.699117882,0.540684557
gcn,Graph_ckpt/best_model_20211111-03-25,0.7,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.718649007,0.540684557
gcn,Graph_ckpt/best_model_0_20211105-01-40,0.7,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.786756002,0.540636551
pool,Graph_ckpt/best_model_20211106-04-58,0.5,feat-all2,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,2.587134078,0.540540541
pool,Graph_ckpt/best_model_20211110-17-39,0.5,feat-all4,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,38.19154747,0.540156498
mean,Graph_ckpt/best_model_0_20211105-11-11,0.2,feat-all,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.691456898,0.539772455
gcn,Graph_ckpt/best_model_0_20211106-08-30,0.5,feat-all4,0,0.005,Graph_ckpt,20,16,2,TRUE,0.0005,0.8478256,0.539388412
pool,Graph_ckpt/best_model_0_20211104-11-59,0.5,feat-all4,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,12.17893548,0.53919639
pool,Graph_ckpt/best_model_0_20211105-18-25,0.2,feat-all4,0,0.001,Graph_ckpt,20,16,2,TRUE,5.00E-05,0.925747874,0.538428304
mean,Graph_ckpt/best_model_0_20211106-11-35,0.5,feat-all5,0,0.0005,Graph_ckpt,20,16,2,TRUE,0.0001,0.738976946,0.538188277
gcn,Graph_ckpt/best_model_0_20211111-02-18,0.7,feat-all5,0,0.005,Graph_ckpt,20,32,1,TRUE,0.0005,0.689764771,0.537804234
gcn,Graph_ckpt/best_model_20211110-18-18,0.5,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.75041886,0.537804234
gcn,Graph_ckpt/best_model_0_20211107-08-32,0.2,feat-all,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.801955285,0.537564207
gcn,Graph_ckpt/best_model_0_20211109-01-10,0.7,feat-all4,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.68445211,0.537516202
pool,Graph_ckpt/best_model_0_20211109-14-31,0.2,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,3.629943915,0.537516202
gcn,Graph_ckpt/best_model_0_20211110-10-42,0.5,feat-all5,0,0.0005,Graph_ckpt,20,32,1,TRUE,0.0001,0.747974712,0.537276175
lstm,Graph_ckpt/best_model_20211104-02-20,0.5,feat-all,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.692653903,0.537132159
pool,Graph_ckpt/best_model_0_20211110-12-40,0.5,feat-all5,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,1.215298574,0.536892132
gcn,Graph_ckpt/best_model_20211103-12-38,0.2,feat-all2,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.783455966,0.536748116
lstm,Graph_ckpt/best_model_20211104-08-05,0.5,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,0.702164454,0.5366041
gcn,Graph_ckpt/best_model_20211109-19-09,0.2,feat-all2,0,0.001,Graph_ckpt,20,32,1,TRUE,5.00E-05,0.743196103,0.5366041
gcn,Graph_ckpt/best_model_0_20211109-03-30,0.7,feat-all5,0,0.005,Graph_ckpt,20,16,3,TRUE,0.0005,0.689948148,0.536172051
gcn,Graph_ckpt/best_model_0_20211105-03-50,0.7,feat-all5,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.702172857,0.536028035
gcn,Graph_ckpt/best_model_0_20211108-17-39,0.7,feat-all,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.872165758,0.535884019
gcn,Graph_ckpt/best_model_0_20211108-15-04,0.5,feat-all7,0,0.0005,Graph_ckpt,20,16,3,TRUE,0.0001,0.701928517,0.535691998
mean,Graph_ckpt/best_model_20211105-02-42,0.7,feat-all5,0,0.001,Graph_ckpt,20,16,1,TRUE,5.00E-05,0.711296802,0.535643992
gcn,Graph_ckpt/best_model_20211109-01-21,0.7,feat-all2,0,0.001,Graph_ckpt,20,16,3,TRUE,5.00E-05,0.709246245,0.535643992
mean,Graph_ckpt/best_model_0_20211104-07-44,0.5,feat-all2,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.703669789,0.535595987
mean,Graph_ckpt/best_model_0_20211105-02-24,0.7,feat-all4,0,0.0005,Graph_ckpt,20,16,1,TRUE,0.0001,5.401729581,0.535547981
mean,Graph_ckpt/best_model_20211103-17-55,0.2,feat-all4,0,0.005,Graph_ckpt,20,16,1,TRUE,0.0005,0.704452961,0.535499976
