stock,influence_jyr_date,feature,label
000001,20181101,[0.6126004457473755],0
000001,20181105,[0.579825758934021],0
000001,20181107,[0.5821053385734558],0
000001,20181108,[0.48081326484680176],1
000001,20181109,[0.5658407211303711],0
000001,20181112,[0.5978192090988159],1
000001,20181114,[0.5293126106262207],0
000001,20181115,[0.5654196739196777],1
000001,20181116,[0.5673187375068665],0
000001,20181119,[0.6066527962684631],1
000001,20181120,[0.543184757232666],0
000001,20181121,[0.4800724387168884],1
000001,20181122,[0.6369767189025879],0
000001,20181123,[0.4536128342151642],0
000001,20181126,[0.3138431906700134],1
000001,20181127,[0.4678804576396942],0
000001,20181128,[0.6663589477539062],1
000001,20181129,[0.6108567714691162],0
000001,20181130,[0.5967564582824707],1
000001,20181203,[0.5961863398551941],1
000001,20181204,[0.5270605087280273],1
000001,20181205,[0.623918354511261],0
000001,20181206,[0.6198591589927673],0
000001,20181207,[0.568740963935852],1
000001,20181211,[0.5775789618492126],1
000001,20181212,[0.6104835271835327],1
000001,20181213,[0.5875236392021179],1
000001,20181217,[0.5755335688591003],1
000001,20181218,[0.5874301195144653],0
000001,20181219,[0.5648401975631714],0
000001,20181220,[0.6193290948867798],0
000001,20181221,[0.6032291650772095],0
000001,20181224,[0.4835897982120514],0
000001,20181225,[0.6167383193969727],0
000001,20181226,[0.48914146423339844],0
000001,20181227,[0.5857256650924683],0
000001,20181228,[0.6369799375534058],1
000001,20190102,[0.5489338040351868],0
000001,20190104,[0.6048904061317444],1
000001,20190107,[0.44156885147094727],0
000001,20190108,[0.5566225051879883],0
000001,20190109,[0.6036179065704346],1
000001,20190114,[0.47548356652259827],0
000001,20190115,[0.5315278768539429],1
000001,20190116,[0.5910152196884155],1
000001,20190117,[0.6009112596511841],0
000001,20190118,[0.5682119131088257],1
000001,20190121,[0.5741118788719177],0
000001,20190122,[0.5646838545799255],0
000001,20190123,[0.5971732139587402],1
000001,20190128,[0.5160029530525208],0
000001,20190131,[0.6059420704841614],1
000001,20190201,[0.5944831967353821],1
000001,20190211,[0.5114186406135559],1
000001,20190218,[0.5048117637634277],1
000001,20190219,[0.6269947290420532],0
000001,20190220,[0.6010976433753967],1
000001,20190221,[0.5820521712303162],0
000001,20190222,[0.5860728025436401],1
000001,20190225,[0.4356851577758789],1
000001,20190227,[0.536517322063446],1
000001,20190228,[0.562021791934967],0
000001,20190301,[0.47821149230003357],1
000001,20190304,[0.4714614450931549],1
000001,20190305,[0.6218306422233582],1
000001,20190306,[0.5361932516098022],1
000001,20190307,[0.6059957146644592],0
000001,20190308,[0.6008145213127136],0
000001,20190311,[0.5803447365760803],1
000001,20190312,[0.5752399563789368],1
000001,20190313,[0.5674370527267456],1
000001,20190314,[0.5630586743354797],1
000001,20190315,[0.5705650448799133],1
000001,20190319,[0.559073269367218],0
000001,20190320,[0.5942099690437317],0
000001,20190321,[0.5202562808990479],0
000001,20190325,[0.6119471788406372],0
000001,20190326,[0.5711843967437744],0
000001,20190329,[0.5921227931976318],1
000001,20190401,[0.4826641082763672],1
000001,20190402,[0.5619754791259766],1
000001,20190403,[0.48214513063430786],1
000001,20190404,[0.5817226767539978],1
000001,20190408,[0.5878865718841553],1
000001,20190409,[0.4821370542049408],0
000001,20190411,[0.5596826672554016],0
000001,20190415,[0.5429732203483582],1
000001,20190416,[0.5628933906555176],1
000001,20190417,[0.5202540755271912],0
000001,20190419,[0.6289352774620056],1
000001,20190422,[0.5686960816383362],0
000001,20190424,[0.5261273384094238],1
000001,20190425,[0.5901474952697754],0
000001,20190426,[0.5387104749679565],0
000001,20190429,[0.5726804137229919],1
000001,20190430,[0.5501267910003662],0
000001,20190506,[0.3999541103839874],0
000001,20190507,[0.5971387028694153],1
000001,20190510,[0.6136264204978943],1
000001,20190513,[0.59328693151474],0
000001,20190514,[0.5952568054199219],1
000001,20190520,[0.6386027932167053],0
000001,20190522,[0.5227754712104797],0
000001,20190523,[0.5349301099777222],0
000001,20190524,[0.5570364594459534],1
000001,20190527,[0.5544765591621399],1
000001,20190528,[0.5547187924385071],1
000001,20190530,[0.563802182674408],0
000001,20190531,[0.5629005432128906],0
000001,20190603,[0.46991828083992004],0
000001,20190604,[0.6871840953826904],0
000001,20190605,[0.5648238658905029],1
000001,20190606,[0.5513992309570312],0
000001,20190610,[0.5854663848876953],1
000001,20190611,[0.5910641551017761],1
000001,20190612,[0.4741818904876709],0
000001,20190613,[0.6375417709350586],1
000001,20190614,[0.6488588452339172],0
000001,20190617,[0.5600520968437195],1
000001,20190619,[0.5205971002578735],1
000001,20190620,[0.4849531650543213],1
000001,20190621,[0.5594353675842285],0
000001,20190624,[0.6394946575164795],1
000001,20190626,[0.6073177456855774],1
000001,20190627,[0.5260875225067139],1
000001,20190628,[0.5154327750205994],1
000001,20190701,[0.5542787909507751],1
000001,20190702,[0.5907884836196899],1
000001,20190703,[0.6100665926933289],0
000001,20190704,[0.5689447522163391],0
000001,20190705,[0.48893195390701294],0
000001,20190708,[0.4548383951187134],0
000001,20190709,[0.4755583703517914],1
000001,20190710,[0.4715660512447357],0
000001,20190711,[0.6258004903793335],0
000001,20190712,[0.47276240587234497],1
000001,20190715,[0.5539969801902771],0
000001,20190716,[0.6039358973503113],0
000001,20190717,[0.46395036578178406],0
000001,20190718,[0.5438039898872375],0
000001,20190719,[0.591494083404541],1
000001,20190722,[0.5814425945281982],0
000001,20190723,[0.46094846725463867],0
000001,20190724,[0.5793178677558899],1
000001,20190725,[0.5740417242050171],1
000001,20190726,[0.5939667224884033],1
000001,20190729,[0.6082702279090881],1
000001,20190730,[0.5798075199127197],1
000001,20190731,[0.48655396699905396],0
000001,20190801,[0.6455161571502686],0
000001,20190802,[0.5370147824287415],0
000001,20190805,[0.5438412427902222],0
000001,20190806,[0.6781193017959595],1
000001,20190807,[0.5130964517593384],1
000001,20190808,[0.46484583616256714],1
000001,20190809,[0.5743204951286316],1
000001,20190812,[0.5405452251434326],1
000001,20190813,[0.6334326267242432],0
000001,20190814,[0.6101721525192261],1
000001,20190816,[0.5329284071922302],0
000001,20190819,[0.5177139639854431],1
000001,20190820,[0.4873715937137604],1
000001,20190821,[0.6068910360336304],0
000001,20190822,[0.478039026260376],0
000001,20190823,[0.6043119430541992],1
000001,20190826,[0.5041530132293701],0
000001,20190827,[0.5581257939338684],1
000001,20190828,[0.5617994666099548],0
000001,20190829,[0.5276810526847839],0
000001,20190830,[0.567696750164032],1
000001,20190902,[0.5714853405952454],1
000001,20190903,[0.4711405038833618],0
000001,20190904,[0.6166161298751831],1
000001,20190905,[0.4779275357723236],1
000001,20190906,[0.45900747179985046],1
000001,20190909,[0.5498605370521545],0
000001,20190910,[0.6174244284629822],0
000001,20190911,[0.5538828372955322],1
000001,20190912,[0.5646413564682007],1
000001,20190916,[0.6377153396606445],0
000001,20190917,[0.5275459289550781],0
000001,20190918,[0.6009122729301453],1
000001,20190919,[0.5159082412719727],1
000001,20190920,[0.561951756477356],1
000001,20190923,[0.5025837421417236],1
000001,20190924,[0.49761950969696045],0
