stock,influence_jyr_date,feature,label
000001,20181109,"[0.0, 0.0, 0.11425658315420151, 0.0, 0.034760184586048126, 0.0, 0.0, 0.0, 0.0, 0.2660037577152252, 0.01827564463019371, 0.0, 0.14262636005878448, 0.0, 0.39857420325279236, 0.002739841118454933]",0
000001,20181119,"[0.0, 0.0, 0.1116243228316307, 0.0, 0.2220343053340912, 0.0, 0.0, 0.0, 0.0, 0.45443451404571533, 0.05438218265771866, 0.0, 0.0, 0.0, 0.7637661099433899, 0.0]",1
000001,20181120,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.19883741438388824, 0.07159560918807983, 0.3736530840396881, 0.0, 0.37908345460891724, 0.0, 0.0, 0.0]",0
000001,20181123,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.21378639340400696, 0.0, 0.25753629207611084, 0.0, 0.170423686504364, 0.0, 0.0, 0.0, 0.0]",0
000001,20181203,"[0.34399986267089844, 0.0, 0.3460231125354767, 0.0, 0.42234888672828674, 0.0, 0.0, 0.0, 0.0, 0.5267812013626099, 0.0, 0.0, 0.062392622232437134, 0.0, 0.4950643479824066, 0.0552210807800293]",1
000001,20181220,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5177222490310669, 0.032401882112026215, 0.6809992790222168, 0.0, 0.16390177607536316, 0.0, 0.0, 0.0]",0
000001,20181221,"[0.3800479769706726, 0.0, 0.36569496989250183, 0.0, 0.4224030673503876, 0.0, 0.0, 0.0, 0.0, 0.5464391112327576, 0.0, 0.0, 0.07188121229410172, 0.0, 0.5185951590538025, 0.060129567980766296]",0
000001,20190102,"[0.0, 0.0, 0.07490070164203644, 0.0, 0.022959105670452118, 0.0, 0.0, 0.0, 0.0, 0.20629683136940002, 0.0, 0.0, 0.1789097636938095, 0.0, 0.3280281126499176, 0.0]",0
000001,20190104,"[0.4122358560562134, 0.0, 0.310994952917099, 0.0, 0.22682902216911316, 0.0, 0.0, 0.0, 0.08650057762861252, 0.4217846691608429, 0.0, 0.0, 0.12381945550441742, 0.0, 0.41738373041152954, 0.06601659208536148]",1
000001,20190109,"[0.0, 0.0, 0.10738544911146164, 0.0, 0.030519165098667145, 0.0, 0.0, 0.0, 0.0, 0.3504214286804199, 0.05589248985052109, 0.0, 0.12838886678218842, 0.0, 0.7406169176101685, 0.0]",1
000001,20190116,"[0.32131773233413696, 0.0, 0.33726534247398376, 0.0, 0.4268820285797119, 0.0, 0.0, 0.0, 0.0, 0.5204058885574341, 0.0, 0.0, 0.05624363571405411, 0.0, 0.4890032112598419, 0.05255022644996643]",1
000001,20190117,"[0.37733668088912964, 0.0, 0.3633030354976654, 0.0, 0.4211164116859436, 0.0, 0.0, 0.0, 0.0, 0.544865608215332, 0.0, 0.0, 0.0704871118068695, 0.0, 0.5156471133232117, 0.05980747938156128]",0
000001,20190218,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07156971096992493, 0.10632431507110596, 0.0, 0.42944759130477905, 0.14668218791484833, 0.007516629993915558, 0.0]",1
000001,20190225,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.026857875287532806, 0.0, 0.0, 0.6751965284347534, 0.38203299045562744, 0.0, 0.0]",1
000001,20190301,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5011062622070312, 0.3508777618408203, 0.0, 0.0]",1
000001,20190307,"[0.412930428981781, 0.0, 0.3113853633403778, 0.0, 0.22697797417640686, 0.0, 0.0, 0.0, 0.08705633878707886, 0.4220721423625946, 0.0, 0.0, 0.12399931252002716, 0.0, 0.4181329309940338, 0.06595183163881302]",0
000001,20190308,"[0.39016515016555786, 0.0, 0.3692040741443634, 0.0, 0.4195377230644226, 0.0, 0.0, 0.0, 0.0, 0.5488499999046326, 0.0, 0.0, 0.0746166929602623, 0.0, 0.5206887125968933, 0.06119000166654587]",0
000001,20190325,"[0.12778665125370026, 0.0, 0.254502534866333, 0.0, 0.2081974446773529, 0.0, 0.0, 0.0, 0.0, 0.4816758632659912, 0.024342145770788193, 0.0, 0.08424113690853119, 0.0, 0.6910765767097473, 0.005927428603172302]",0
000001,20190329,"[0.0, 0.0, 0.1263445019721985, 0.0, 0.090795136988163, 0.0, 0.0, 0.0, 0.0, 0.37001049518585205, 0.048672791570425034, 0.0, 0.05183076858520508, 0.0, 0.7547602653503418, 0.0]",1
000001,20190401,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.500558078289032, 0.3503439426422119, 0.0, 0.0]",1
000001,20190404,"[0.34320345520973206, 0.0, 0.2907277047634125, 0.0, 0.533341646194458, 0.0, 0.0, 0.0, 0.0, 0.5543354153633118, 0.0, 0.0, 0.0, 0.0, 0.4690779149532318, 0.021179933100938797]",1
000001,20190415,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5211982727050781, 0.28669771552085876, 0.013095692731440067, 0.0, 0.7124196887016296, 0.0, 0.0, 0.0]",1
000001,20190416,"[0.0, 0.0, 0.11321606487035751, 0.0, 0.032932840287685394, 0.0, 0.0, 0.0, 0.0, 0.2665787637233734, 0.019969727843999863, 0.0, 0.14465682208538055, 0.0, 0.40026775002479553, 0.0003969762474298477]",1
000001,20190419,"[0.12467563152313232, 0.0, 0.1728379726409912, 0.0, 0.16812390089035034, 0.0, 0.0, 0.0, 0.0, 0.48809489607810974, 0.07277034223079681, 0.0, 0.07106190919876099, 0.0, 0.694730281829834, 0.0]",1
000001,20190422,"[0.0, 0.0, 0.05869726836681366, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3090214431285858, 0.07547175139188766, 0.0, 0.06574110686779022, 0.0, 0.7419611215591431, 0.0]",0
000001,20190424,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.15681540966033936, 0.0, 0.0, 0.3037239909172058, 0.04348170757293701, 0.1781529039144516, 0.0]",1
000001,20190425,"[0.2206614762544632, 0.0, 0.2947811484336853, 0.0, 0.39474788308143616, 0.0, 0.0, 0.0, 0.0, 0.5389738082885742, 0.0, 0.0, 0.0742698684334755, 0.0, 0.5508514046669006, 0.03781599923968315]",0
000001,20190426,"[0.18076017498970032, 0.0, 0.06338785588741302, 0.0, 0.48345378041267395, 0.0, 0.0, 0.0, 0.0, 0.42105716466903687, 0.0, 0.0, 0.0, 0.0, 0.2843242883682251, 0.0]",0
000001,20190429,"[0.0, 0.0, 0.08931773900985718, 0.0, 0.018130376935005188, 0.0, 0.0, 0.0, 0.0, 0.31183114647865295, 0.03290676325559616, 0.0, 0.2083643227815628, 0.0, 0.5765135288238525, 0.0]",1
000001,20190506,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.3542146682739258, 0.37196871638298035, 0.11633272469043732, 0.4488861560821533, 0.23160730302333832, 0.2617466449737549, 0.20328986644744873, 0.0, 0.0]",0
000001,20190510,"[0.0, 0.0, 0.10394410789012909, 0.0, 0.029728733003139496, 0.0, 0.0, 0.0, 0.0, 0.340899795293808, 0.04969297721982002, 0.0, 0.12454862892627716, 0.0, 0.7195367813110352, 0.0]",1
000001,20190513,"[0.0, 0.0, 0.10568175464868546, 0.0, 0.03445214778184891, 0.0, 0.0, 0.0, 0.0, 0.3118836581707001, 0.03411408141255379, 0.0, 0.16673322021961212, 0.0, 0.5910215973854065, 0.0]",0
000001,20190603,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5209829807281494, 0.32006222009658813, 0.0, 0.0]",0
000001,20190610,"[0.0, 0.0, 0.0, 0.0, 0.06203480809926987, 0.0, 0.0, 0.0, 0.0, 0.37515121698379517, 0.08051280677318573, 0.0, 0.0, 0.0, 0.525534987449646, 0.0]",1
000001,20190611,"[0.0, 0.0, 0.1337634027004242, 0.0, 0.06848904490470886, 0.0, 0.0, 0.0, 0.0, 0.3541601300239563, 0.003693130798637867, 0.0, 0.19409728050231934, 0.0, 0.6037461757659912, 0.0]",1
000001,20190619,"[0.0, 0.0, 0.0, 0.0, 0.009111445397138596, 0.0, 0.0, 0.0, 0.0, 0.2180430293083191, 0.044779419898986816, 0.03776625916361809, 0.0, 0.0, 0.12143148481845856, 0.0]",1
000001,20190620,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.45226818323135376, 0.36407172679901123, 0.0, 0.0]",1
000001,20190627,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.1559404730796814, 0.0, 0.0, 0.2740459442138672, 0.035137515515089035, 0.21435807645320892, 0.0]",1
000001,20190708,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7861263155937195, 0.49381744861602783, 0.0, 0.0]",0
000001,20190712,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.48942452669143677, 0.3242206573486328, 0.0, 0.0]",1
000001,20190719,"[0.1334991157054901, 0.0, 0.2889329195022583, 0.0, 0.40115562081336975, 0.0, 0.0, 0.0, 0.0, 0.5373249650001526, 0.0, 0.0, 0.06539204716682434, 0.0, 0.540807843208313, 0.008505277335643768]",1
000001,20190725,"[0.17556315660476685, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.5675559639930725, 0.4493802785873413, 0.0, 0.0, 1.0441519021987915, 0.0, 0.19531981647014618, 0.0]",1
000001,20190802,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.32572081685066223, 0.00861973688006401, 0.3657822012901306, 0.0, 0.4427862763404846, 0.0, 0.0, 0.0]",0
000001,20190805,"[0.0, 0.0, 0.025275904685258865, 0.0, 0.36053475737571716, 0.0, 0.0, 0.0, 0.0, 0.40287595987319946, 0.0, 0.0, 0.0, 0.0, 0.3462926745414734, 0.0]",0
000001,20190808,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6177914142608643, 0.3976519703865051, 0.0, 0.0]",1
000001,20190812,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.12394563853740692, 0.17616477608680725, 0.021186523139476776, 0.11880940198898315, 0.0, 0.0, 0.0, 0.0]",1
000001,20190821,"[0.36858877539634705, 0.0, 0.3774624168872833, 0.0, 0.49147120118141174, 0.0, 0.0, 0.0, 0.0, 0.6119167804718018, 0.0, 0.0, 0.016210392117500305, 0.0, 0.49758100509643555, 0.0]",0
000001,20190823,"[0.34019386768341064, 0.0, 0.37249481678009033, 0.0, 0.4145863354206085, 0.0, 0.0, 0.0, 0.0, 0.5496755838394165, 0.0, 0.0, 0.07788622379302979, 0.0, 0.5092750787734985, 0.04186119884252548]",1
000001,20190826,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.07010113447904587, 0.0, 0.08376988768577576, 0.0, 0.0, 0.11442407965660095, 0.0]",0
000001,20190902,"[0.0, 0.0, 0.003491714596748352, 0.0, 0.1838088035583496, 0.0, 0.0, 0.0, 0.0, 0.4590862989425659, 0.04826841503381729, 0.0, 0.0, 0.0, 0.4425925314426422, 0.0]",1
000001,20190919,"[0.0, 0.0, 0.024322345852851868, 0.0, 0.16952162981033325, 0.0, 0.0, 0.0, 0.0, 0.3441691994667053, 0.0, 0.04266425594687462, 0.5885550379753113, 0.1414654403924942, 0.27417227625846863, 0.00861821323633194]",1
000001,20190920,"[0.0, 0.0, 0.07442532479763031, 0.0, 0.2727143466472626, 0.0, 0.0, 0.0, 0.0, 0.4450092315673828, 0.0, 0.0, 0.0, 0.0, 0.4032242000102997, 0.0]",1
000001,20190925,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.3045305609703064, 0.1414172649383545, 0.0, 0.0, 0.0, 0.5589025020599365, 0.0]",1
000001,20191008,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.04309379681944847, 0.0, 0.0, 0.0, 0.0]",1
000001,20191011,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.7380043268203735, 0.46044015884399414, 0.0, 0.0]",1
000001,20191014,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.05621190741658211, 0.13863788545131683, 0.2035434991121292, 0.0, 0.526362419128418, 0.0, 0.11047211289405823, 0.0]",1
000001,20191016,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.6948131322860718, 0.33662426471710205, 0.020218376070261, 0.0]",0
000001,20191021,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.4818669855594635, 0.21732240915298462, 0.0, 0.34407883882522583, 0.0, 0.09145902842283249, 0.0, 0.0]",1
000001,20191022,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.06184740737080574, 0.0, 0.08144499361515045, 0.0, 0.0, 0.04287424311041832, 0.0]",0
